"Time [s]";"Pressure [mmHg]";
8.33;162.89;
8.34;162.83;
8.35;162.80;
8.36;162.83;
8.37;162.59;
8.38;162.83;
8.39;162.59;
8.40;162.59;
8.41;162.67;
8.42;162.62;
8.43;162.50;
8.44;162.47;
8.45;162.45;
8.46;162.44;
8.47;162.42;
8.48;162.42;
8.49;162.41;
8.50;162.47;
8.51;162.27;
8.52;162.38;
8.53;162.34;
8.54;162.28;
8.55;162.34;
8.56;162.48;
8.57;162.41;
8.58;162.48;
8.59;162.36;
8.60;162.39;
8.61;162.33;
8.62;162.33;
8.63;162.22;
8.64;162.14;
8.65;162.16;
8.66;162.05;
8.67;162.06;
8.68;162.03;
8.69;162.00;
8.70;162.05;
8.71;162.06;
8.72;162.00;
8.73;161.98;
8.74;161.95;
8.75;161.91;
8.76;161.80;
8.77;161.75;
8.78;161.88;
8.79;161.88;
8.80;161.88;
8.81;161.88;
8.82;161.69;
8.83;161.91;
8.84;161.67;
8.85;161.72;
8.86;161.73;
8.87;161.77;
8.88;161.73;
8.89;161.62;
8.90;161.58;
8.91;161.69;
8.92;161.72;
8.93;161.77;
8.94;161.61;
8.95;161.53;
8.96;161.58;
8.97;161.56;
8.98;161.66;
8.99;161.50;
9.00;161.44;
9.01;161.59;
9.02;161.42;
9.03;161.47;
9.04;161.56;
9.05;161.53;
9.06;161.52;
9.07;161.45;
9.08;161.42;
9.09;161.23;
9.10;161.27;
9.11;161.31;
9.12;161.66;
9.13;161.53;
9.14;161.36;
9.15;161.92;
9.16;161.39;
9.17;161.25;
9.18;161.94;
9.19;161.27;
9.20;160.95;
9.21;162.09;
9.22;161.34;
9.23;160.89;
9.24;161.69;
9.25;161.84;
9.26;160.91;
9.27;161.30;
9.28;161.80;
9.29;161.25;
9.30;160.89;
9.31;161.45;
9.32;161.48;
9.33;161.20;
9.34;160.89;
9.35;161.39;
9.36;161.61;
9.37;161.19;
9.38;160.98;
9.39;161.17;
9.40;161.36;
9.41;161.36;
9.42;161.19;
9.43;161.17;
9.44;161.34;
9.45;161.11;
9.46;161.25;
9.47;161.48;
9.48;161.33;
9.49;161.34;
9.50;161.38;
9.51;161.42;
9.52;161.48;
9.53;161.16;
9.54;161.14;
9.55;161.30;
9.56;161.20;
9.57;161.39;
9.58;161.20;
9.59;161.19;
9.60;161.48;
9.61;161.23;
9.62;161.25;
9.63;161.36;
9.64;161.25;
9.65;161.14;
9.66;161.36;
9.67;161.31;
9.68;161.47;
9.69;161.14;
9.70;161.31;
9.71;161.47;
9.72;161.41;
9.73;161.38;
9.74;161.27;
9.75;161.42;
9.76;161.38;
9.77;161.42;
9.78;161.39;
9.79;161.36;
9.80;161.53;
9.81;161.41;
9.82;161.31;
9.83;161.30;
9.84;161.39;
9.85;161.39;
9.86;161.39;
9.87;161.66;
9.88;159.58;
9.89;151.31;
9.90;141.94;
9.91;135.23;
9.92;128.66;
9.93;122.22;
9.94;117.86;
9.95;118.61;
9.96;119.89;
9.97;119.92;
9.98;119.19;
9.99;119.00;
10.00;119.30;
10.01;119.47;
10.02;119.56;
10.03;119.42;
10.04;119.50;
10.05;119.58;
10.06;119.36;
10.07;119.38;
10.08;119.36;
10.09;119.30;
10.10;119.38;
10.11;119.33;
10.12;119.31;
10.13;119.23;
10.14;119.25;
10.15;119.41;
10.16;119.42;
10.17;119.44;
10.18;119.59;
10.19;119.52;
10.20;119.47;
10.21;119.45;
10.22;119.45;
10.23;119.56;
10.24;119.66;
10.25;119.66;
10.26;119.61;
10.27;119.67;
10.28;119.64;
10.29;119.67;
10.30;119.67;
10.31;119.62;
10.32;119.62;
10.33;119.67;
10.34;119.84;
10.35;119.78;
10.36;119.77;
10.37;119.77;
10.38;119.84;
10.39;119.61;
10.40;119.92;
10.41;119.97;
10.42;120.22;
10.43;120.38;
10.44;120.45;
10.45;120.23;
10.46;120.30;
10.47;120.19;
10.48;120.03;
10.49;120.22;
10.50;120.00;
10.51;119.81;
10.52;119.89;
10.53;119.70;
10.54;119.67;
10.55;119.55;
10.56;119.66;
10.57;119.81;
10.58;119.70;
10.59;119.69;
10.60;119.70;
10.61;119.75;
10.62;119.67;
10.63;119.69;
10.64;119.69;
10.65;119.81;
10.66;119.81;
10.67;119.97;
10.68;119.83;
10.69;119.77;
10.70;119.84;
10.71;120.03;
10.72;120.00;
10.73;120.08;
10.74;120.00;
10.75;120.14;
10.76;120.06;
10.77;120.08;
10.78;120.11;
10.79;120.08;
10.80;120.05;
10.81;119.98;
10.82;118.78;
10.83;113.00;
10.84;105.64;
10.85;100.50;
10.86;95.64;
10.87;90.62;
10.88;86.97;
10.89;87.27;
10.90;88.27;
10.91;88.47;
10.92;88.14;
10.93;87.95;
10.94;87.95;
10.95;88.06;
10.96;88.16;
10.97;87.98;
10.98;87.98;
10.99;87.94;
11.00;88.06;
11.01;88.16;
11.02;87.97;
11.03;88.06;
11.04;88.17;
11.05;87.95;
11.06;88.12;
11.07;88.16;
11.08;88.16;
11.09;88.20;
11.10;88.25;
11.11;88.17;
11.12;88.22;
11.13;88.20;
11.14;88.03;
11.15;88.23;
11.16;88.22;
11.17;88.27;
11.18;88.19;
11.19;88.27;
11.20;88.39;
11.21;88.23;
11.22;88.16;
11.23;88.27;
11.24;88.27;
11.25;88.14;
11.26;88.33;
11.27;88.22;
11.28;88.36;
11.29;88.47;
11.30;88.52;
11.31;88.38;
11.32;88.52;
11.33;88.56;
11.34;88.66;
11.35;88.48;
11.36;88.47;
11.37;88.39;
11.38;88.33;
11.39;88.53;
11.40;88.34;
11.41;88.34;
11.42;88.45;
11.43;88.33;
11.44;88.36;
11.45;88.48;
11.46;88.38;
11.47;88.42;
11.48;88.30;
11.49;88.31;
11.50;88.23;
11.51;88.28;
11.52;88.22;
11.53;88.34;
11.54;88.23;
11.55;88.33;
11.56;88.17;
11.57;88.22;
11.58;88.27;
11.59;88.23;
11.60;89.25;
11.61;97.58;
11.62;106.50;
11.63;108.86;
11.64;114.69;
11.65;123.03;
11.66;125.56;
11.67;123.09;
11.68;122.28;
11.69;122.70;
11.70;123.41;
11.71;123.48;
11.72;123.12;
11.73;122.89;
11.74;123.03;
11.75;123.33;
11.76;123.44;
11.77;123.00;
11.78;123.09;
11.79;123.05;
11.80;123.23;
11.81;123.17;
11.82;123.19;
11.83;123.17;
11.84;123.05;
11.85;123.16;
11.86;123.25;
11.87;123.17;
11.88;123.12;
11.89;123.22;
11.90;123.14;
11.91;123.28;
11.92;123.16;
11.93;123.20;
11.94;123.09;
11.95;122.98;
11.96;123.22;
11.97;123.06;
11.98;123.11;
11.99;122.98;
12.00;123.30;
12.01;123.08;
12.02;123.08;
12.03;122.95;
12.04;122.98;
12.05;123.06;
12.06;123.12;
12.07;123.06;
12.08;123.06;
12.09;123.08;
12.10;122.94;
12.11;122.95;
12.12;122.94;
12.13;123.03;
12.14;123.03;
12.15;122.81;
12.16;123.05;
12.17;123.06;
12.18;123.08;
12.19;122.84;
12.20;123.00;
12.21;123.03;
12.22;123.17;
12.23;123.08;
12.24;123.09;
12.25;123.33;
12.26;123.59;
12.27;123.67;
12.28;123.42;
12.29;123.47;
12.30;123.23;
12.31;123.02;
12.32;123.20;
12.33;123.16;
12.34;123.08;
12.35;122.97;
12.36;122.86;
12.37;122.83;
12.38;122.70;
12.39;122.62;
12.40;122.81;
12.41;122.70;
12.42;122.61;
12.43;122.81;
12.44;122.66;
12.45;122.64;
12.46;122.86;
12.47;122.61;
12.48;122.75;
12.49;122.78;
12.50;122.78;
12.51;122.61;
12.52;122.91;
12.53;122.89;
12.54;123.05;
12.55;122.86;
12.56;122.92;
12.57;122.91;
12.58;123.00;
12.59;122.95;
12.60;123.03;
12.61;123.00;
12.62;123.02;
12.63;122.84;
12.64;123.00;
12.65;122.81;
12.66;123.08;
12.67;123.88;
12.68;124.23;
12.69;124.62;
12.70;124.98;
12.71;125.31;
12.72;125.20;
12.73;125.23;
12.74;125.02;
12.75;125.02;
12.76;125.25;
12.77;125.33;
12.78;125.22;
12.79;125.00;
12.80;125.23;
12.81;125.27;
12.82;125.28;
